vertex,x_px,y_px,x_nm,y_nm,side_to_next_px,side_to_next_angstrom,side_to_next_nm,interior_angle_deg
1,176.66713781661426,176.2045072823659,41.87011012212239,41.76046668953934,18.58814941268135,44.0539124872968,4.40539124872968,88.34425018300342
2,189.61966214218484,189.5368518692594,44.93985827434557,44.92023224038429,33.14498209727083,78.55360468051877,7.855360468051877,135.82787490849827
3,189.61966214218484,222.68183396653023,44.93985827434557,52.77559270843617,18.58814941268135,44.0539124872968,4.40539124872968,135.82787490849827
4,176.66713781661426,236.01417855342373,41.87011012212239,55.9353582592811,18.58814941268135,44.0539124872968,4.40539124872968,88.34425018300342
5,163.71461349104368,222.68183396653023,38.800361969899214,52.77559270843617,33.14498209727083,78.55360468051877,7.855360468051877,135.82787490849827
6,163.71461349104368,189.5368518692594,38.800361969899214,44.92023224038429,18.58814941268135,44.0539124872968,4.40539124872968,135.82787490849827
