spacing_nm,water_area_per_pore_nm2,aeff_end_on_mean_nm2,aeff_end_on_best_nm2,aeff_3d_best_nm2,aeff_3d_random_mean_nm2,p_random_positive,alpha_end_on_mean,alpha_end_on_best,alpha_3d_best,alpha_3d_random_mean
42.76024,211.31192099010423,6.309694014436862,8.819946902644073,8.819946902644078,2.9441745222100617,0.8568,0.029859621666741394,0.041738993528231245,0.04173899352823127,0.01393283686227971
42.931529600000005,212.1583973995357,6.226222603376041,8.783424774548148,8.783424774548148,2.8813778340720875,0.848,0.029347047676132505,0.04140031637780165,0.04140031637780165,0.013581257538658206
43.102819200000006,213.00487380896712,6.139358051624915,8.743444540414062,8.743444540414062,2.8172769194210554,0.8368,0.028822617726254388,0.04104809614945993,0.04104809614945993,0.013226349562065528
43.2741088,213.85135021839852,6.049077452192993,8.699960743968742,8.699960743968742,2.751881482198121,0.8262,0.02828636548712595,0.04068228110359739,0.04068228110359739,0.012868197836430425
43.4453984,214.69782662782995,5.955362971972626,8.652927406910553,8.652927406910555,2.685146894629067,0.817,0.02773834773044074,0.04030281788511094,0.04030281788511095,0.012506632865379029
43.616688,215.54430303726141,5.858191790026276,8.602298023610462,8.602298023610464,2.6172433951286163,0.8048,0.027178597195461774,0.039909651530541136,0.03990965153054114,0.012142484669038875
43.787977600000005,216.39077944669285,5.757550453333333,8.54802555637972,8.54802555637972,2.5483280890764197,0.793,0.026607189400838987,0.03950272547766065,0.03950272547766065,0.011776509588774747
43.959267200000006,217.23725585612434,5.653417397142183,8.49006243138712,8.49006243138712,2.478389329897525,0.7812,0.02602416134774979,0.03908198157782874,0.03908198157782874,0.011408675367999287
44.1305568,218.08373226555568,5.54578112195613,8.42836053531786,8.428360535317863,2.4073081295054624,0.7704,0.025429595616068956,0.03864736011145863,0.03864736011145864,0.011038458047728829
44.3018464,218.9302086749872,5.434626908647552,8.362871212877469,8.362871212877469,2.3351434622620753,0.7604,0.024823558802319172,0.03819879980698583,0.03819879980698583,0.010666154645331345
44.473136000000004,219.77668508441863,5.31993978993265,8.293545265255643,8.293545265255643,2.2620148954766295,0.748,0.024206115347900542,0.03773623786376613,0.03773623786376613,0.010292333304634952
44.644425600000005,220.62316149385003,5.201715556734712,8.220332949679205,8.220332949679205,2.1881065561569164,0.7356,0.02357737746804844,0.03725960997938265,0.03725960997938265,0.009917846074460822
44.8157152,221.46963790328144,5.079940617012816,8.14318398019779,8.14318398019779,2.1133828664790357,0.7236,0.02293741329559264,0.03676885038189307,0.03676885038189307,0.009542539945823077
44.9870048,222.3161143127129,4.95461207365682,8.06204752986365,8.062047529863648,2.03790403236535,0.713,0.02228633803255303,0.03626389186761092,0.03626389186761091,0.00916669508490422
45.1582944,223.16259072214433,4.825728166659667,7.976872234485393,7.976872234485393,1.9618273335165162,0.699,0.021624270228463575,0.03574466584507997,0.03574466584507997,0.00879102239836941
45.329584000000004,224.00906713157576,4.6932842238994805,7.887606198157407,7.887606198157407,1.8853136926820013,0.6838,0.020951313640991127,0.03521110238597833,0.03521110238597833,0.008416238310454766
45.500873600000006,224.85554354100725,4.557287120121005,7.794197000790629,7.794197000790623,1.808602038813691,0.6708,0.02026762181778225,0.034663130283773456,0.03466313028377343,0.008043395374345544
45.6721632,225.70201995043868,4.417740420965732,7.696591707897602,7.696591707897602,1.731646126540074,0.6554,0.019573331341632708,0.034100677121045156,0.034100677121045156,0.0076722668539710975
45.8434528,226.54849635987011,4.274654075923019,7.594736882915357,7.594736882915359,1.6545747377385371,0.6414,0.018868604932750346,0.03352366934650138,0.03352366934650139,0.007303401983786558
46.0147424,227.39497276930155,4.1280417919152415,7.488578602383923,7.4885786023839245,1.5777819511484787,0.6216,0.018153619412260506,0.032932032362831924,0.03293203236283193,0.006938508498818846
46.186032000000004,228.24144917873298,3.977920901782064,7.378062474337572,7.378062474337572,1.5016881671176785,0.6036,0.017428564864513302,0.03232569062668326,0.03232569062668326,0.006579384123791317
46.357321600000006,229.08792558816444,3.824313271670523,7.263133660309981,7.263133660309981,1.4260052652765625,0.5876,0.016693648352927866,0.0317045677621921,0.0317045677621921,0.006224707223723865
46.5286112,229.93440199759584,3.6672449376685186,7.1437369014037,7.1437369014037,1.3511068868902503,0.5662,0.015949092027155044,0.031068586689687233,0.031068586689687233,0.005876053670752484
46.6999008,230.78087840702725,3.5067542670303617,7.019816548931698,7.019816548931698,1.2774989258634546,0.5446,0.015195168209930783,0.030417669771370216,0.030417669771370216,0.005535549282425103
46.8711904,231.6273548164588,3.342876200319709,6.891316600201977,6.891316600201977,1.205957120782696,0.5132,0.014432130449223493,0.029751738976005866,0.029751738976005866,0.005206453796177463
47.042480000000005,232.4738312258902,3.190033849629251,6.758180740089739,6.758180740089739,1.1378125678540414,0.4854,0.013722120175021156,0.02907071606491033,0.02907071606491033,0.004894368376234363
47.213769600000006,233.32030763532163,3.045790954101552,6.620352389123558,6.620352389123558,1.0721847324745373,0.4588,0.013054118541889233,0.028374522801809146,0.028374522801809146,0.004595333956743946
