scenario,empirical_aeff_nm2,integrated_aeff_nm2_normal,empirical_alpha_fixed_A_SD,integrated_alpha_fixed_A_SD_normal,empirical_alpha_width_scaled_A_SD,integrated_alpha_width_scaled_A_SD_normal
lower_random_3d,0.11318268001920612,0.09910926394277954,0.0004397335795209112,0.0003850560120139035,0.00046785683491733606,0.000406415109522903
current_end_on_in_plane_mean,0.40924937483901064,0.384752448167711,0.0015900020434585532,0.0014948273996826331,0.0016835066174651434,0.0015689916162194542
upper_best_3d,1.3402695868224725,1.3770259494883135,0.005207170768853053,0.005349975365125877,0.0054704575596892305,0.005573666145572456
