condition,sample_type,exclusion_radius_nm,q_water_m3_s,albumin_diffusion_m2_s,bulk1_length_nm,bulk1_area_nm2,bulk2_length_nm,bulk2_area_nm2,s_gbm,s_sd,c_plasma,pe_bulk1,pe_bulk2,c_gbm_in_over_c0,c_gbm_out_over_c0,c_sd_in_over_c0,c_bowman_over_c0,gfb_sieving,plasma_to_gbm_transfer,gbm_transfer,gbm_to_sd_transfer,sd_transfer,q_albumin_at_c0_1_m3_s,q_water_bulk1_m3_s,q_water_gbm_m3_s,q_water_bulk2_m3_s,q_water_sd_m3_s,q_albumin_bulk1_at_c0_1_m3_s,q_albumin_gbm_at_c0_1_m3_s,q_albumin_bulk2_at_c0_1_m3_s,q_albumin_sd_at_c0_1_m3_s,bulk1_equation_residual,gbm_equation_residual,bulk2_equation_residual,sd_equation_residual,albumin_flow_definition_residual_m3_s,max_abs_equation_residual,figure6_fixed_factor_product,coupled_minus_fixed_product
steric_only,WT,3.55,7.8584e-20,9.2608e-11,30.0,16000.0,30.0,16000.0,0.016257974631320095,0.47690897161621393,1.0,0.0015910612474084311,0.0015910612474084311,1.001579951628199,0.016283661444810065,0.01629721434057228,0.007772287731371338,0.007772287731371338,1.001579951628199,0.016257974631320095,1.000832300266629,0.4769089716162138,6.107774590820851e-22,7.8584e-20,7.8584e-20,7.8584e-20,7.8584e-20,6.107774590820851e-22,6.107774590820851e-22,6.107774590820851e-22,6.107774590820851e-22,0.0,0.0,0.0,-1.734723475976807e-18,0.0,1.734723475976807e-18,0.00782256699870854,-5.027926733720302e-05
steric_only,AS,3.55,7.8584e-20,9.2608e-11,30.0,16000.0,30.0,16000.0,0.12543062006676078,0.47690897161621393,1.0,0.0015910612474084311,0.0015910612474084311,1.001496854253906,0.12561837142397778,0.12572292362800747,0.05995839021601686,0.05995839021601686,1.001496854253906,0.12543062006676078,1.000832300266629,0.47690897161621404,4.711770136735469e-21,7.8584e-20,7.8584e-20,7.8584e-20,7.8584e-20,4.711770136735469e-21,4.711770136735469e-21,4.711770136735469e-21,4.711770136735469e-21,0.0,0.0,0.0,1.3877787807814457e-17,0.0,1.3877787807814457e-17,0.06035127077093505,-0.00039288055491819296
electrostatic,WT,4.25,7.8584e-20,9.2608e-11,30.0,16000.0,30.0,16000.0,0.005000577408884041,0.47690897161621393,1.0,0.0015910612474084311,0.0015910612474084311,1.0015885210438185,0.0050085209313292965,0.00501268952463586,0.002390596606225456,0.002390596606225456,1.0015885210438185,0.005000577408884041,1.0008323002666293,0.47690897161621393,1.8786264370362125e-22,7.8584e-20,7.8584e-20,7.8584e-20,7.8584e-20,1.8786264370362125e-22,1.8786264370362125e-22,1.8786264370362125e-22,1.8786264370362125e-22,0.0,0.0,0.0,0.0,0.0,0.0,0.002406040893794134,-1.5444287568677946e-05
electrostatic,AS,4.25,7.8584e-20,9.2608e-11,30.0,16000.0,30.0,16000.0,0.07212138500536772,0.47690897161621393,1.0,0.0015910612474084311,0.0015910612474084311,1.0015374291558896,0.07223226652543811,0.07229238546012645,0.034476887205471846,0.034476887205471846,1.0015374291558896,0.07212138500536772,1.000832300266629,0.476908971616214,2.7093317041547993e-21,7.8584e-20,7.8584e-20,7.8584e-20,7.8584e-20,2.7093317041547993e-21,2.7093317041547993e-21,2.7093317041547993e-21,2.7093317041547993e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.03470139294948164,-0.00022450574400979112
