sample,tomo,sd_spacing_nm
1,118,51.0972
2,134,50.31036
3,133,53.799
4,180,49.06848
5,347,54.8892
6,241,53.14488
7,380,52.9458
8,352,53.8464
9,110,48.87888
10,120,52.614
11,130,52.73724
12,210,49.2486
13,211,51.12564
14,216,51.27732
15,232,54.15924
16,252,51.68496
17,345,51.60912
18,381,54.11184
19,387,47.76024
20,391,52.68984
21,474,54.20664
22,485,53.78952
23,487,52.21584
24,495,53.01216
25,496,51.88404
