spacing_nm,water_area_per_pore_nm2,aeff_end_on_mean_nm2,aeff_end_on_best_nm2,aeff_3d_best_nm2,aeff_3d_random_mean_nm2,p_random_positive,alpha_end_on_mean,alpha_end_on_best,alpha_3d_best,alpha_3d_random_mean
51.0972,252.51138649398487,0.4413140390580016,2.1154476707055845,2.115447670705594,0.08277441639087389,0.097,0.0017476995599503954,0.008377632787486109,0.008377632787486145,0.0003278046884940996
50.31036,248.62299223071946,0.8691887070104245,3.2549237138303546,3.2549237138303537,0.20469085274738286,0.1566,0.003496010965083337,0.013091804923696762,0.013091804923696758,0.0008232981628562814
53.799,265.86310173531797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49.06848,242.48588803207159,1.6638377346017967,4.811927858092823,4.811927858092826,0.48217344587788247,0.2588,0.0068615858353857475,0.019844156281195176,0.019844156281195187,0.0019884598225118543
54.8892,271.2506359555052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53.14488,262.63058120320585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52.945800000000006,261.646770606476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53.846399999999996,266.09734235358695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48.87888,241.54892555899556,1.7946895220157595,5.024428300190323,5.024428300190323,0.5332710588168945,0.2782,0.007429921362152476,0.020800872074105598,0.020800872074105598,0.0022077144726799836
52.614,260.00708627859296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52.73724000000001,260.6161118860925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49.2486,243.37600238149383,1.5416815629316074,4.603979596324219,4.603979596324221,0.43591885249083395,0.242,0.006334566875311762,0.01891714693015396,0.018917146930153967,0.0017911332597514182
51.125640000000004,252.65193086494634,0.42704728380690893,2.0719983041950902,2.0719983041950965,0.07924732403883426,0.0956,0.0016902593316620433,0.008200999284278834,0.008200999284278858,0.0003136620558075033
51.27732000000001,253.40150084340715,0.35486502770627176,1.8375961874666855,1.8375961874666864,0.061623153237619036,0.0826,0.0014004061796207173,0.007251717852303695,0.0072517178523036985,0.00024318385263116452
54.15924,267.6433304341624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51.684960000000004,255.41597016052054,0.18181946557865356,1.1853998103562446,1.1853998103562362,0.025908967780957533,0.0498,0.0007118562925583158,0.0046410559590743675,0.0046410559590743345,0.00010143832339330465
51.60912,255.0411851712901,0.21186033356153142,1.3091843263805152,1.3091843263805136,0.03136867019155449,0.0546,0.0008306906722506106,0.005133227111931919,0.005133227111931913,0.00012299452800333696
54.111839999999994,267.4090898158935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47.76024,236.02084696784715,2.6118201160896843,6.148611015413874,6.148611015413874,0.8775576850822455,0.3906,0.011066056874397582,0.026051135289127624,0.026051135289127624,0.0037181363271770406
52.689840000000004,260.3818712678234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54.20664,267.87757105243145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53.789519999999996,265.81625361166425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52.21583999999999,258.0394650851333,0.021828475890469875,0.28805576228344465,0.28805576228344454,0.0013740626963936848,0.0118,8.459355580848125e-05,0.0011163244435823344,0.001116324443582334,5.325009862116824e-06
53.01216,261.9747074720526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51.88403999999999,256.3997807572503,0.11128210272415559,0.8551871253226443,0.8551871253226441,0.01365851112868001,0.0376,0.0004340179324471159,0.0033353660552943427,0.003335366055294342,5.327036976529779e-05
