sd_spacing_nm,sieving_lower_random_3d,sieving_upper_best_3d,sieving_midpoint
42.76024,0.8740423482859929,0.9541029373123575,0.9140726427991752
42.931529600000005,0.8716495670020201,0.9539208878333911,0.9127852274177056
43.102819200000006,0.8691114741216485,0.9537199379594852,0.9114157060405668
43.2741088,0.866416553116418,0.9534993790996094,0.9099579661080137
43.4453984,0.8635495850425573,0.953258437303799,0.9084040111731781
43.616688,0.8605032657007807,0.9529962675533937,0.9067497666270872
43.787977600000005,0.8572692536313665,0.9527119473571926,0.9049906004942796
43.959267200000006,0.853830211891361,0.952404469558929,0.9031173407251449
44.1305568,0.8501609236618256,0.9520727342460645,0.9011168289539451
44.3018464,0.8462423241866851,0.9517155396316475,0.8989789319091663
44.473136000000004,0.8420566087876912,0.9513315717592761,0.8966940902734837
44.644425600000005,0.8375881581591845,0.9509193928553206,0.8942537755072526
44.8157152,0.8328058059065337,0.9504774281215443,0.8916416170140391
44.9870048,0.8276804345686094,0.9500039507240023,0.8888421926463059
45.1582944,0.8221863450855121,0.9494970646891272,0.8858417048873197
45.329584000000004,0.8162956325750644,0.9489546853634373,0.8826251589692509
45.500873600000006,0.8099843959429057,0.94837451702702,0.8791794564849629
45.6721632,0.8032017870059456,0.9477540271699546,0.8754779070879501
45.8434528,0.7959057073758625,0.9470904168414122,0.8714980621086373
46.0147424,0.7880773052782414,0.9463805863585247,0.8672289458183831
46.186032000000004,0.7797043866985192,0.945621095510063,0.8626627411042911
46.357321600000006,0.7706935684402844,0.9448081172004603,0.8577508428203724
46.5286112,0.7610198173330596,0.9439373832422185,0.852478600287639
46.6999008,0.7506830969156402,0.9430041207053454,0.8468436088104928
46.8711904,0.7397420207735579,0.9420029768527406,0.8408724988131493
47.042480000000005,0.7283885773522242,0.9409279302056821,0.8346582537789531
47.213769600000006,0.7164770143067066,0.9397721846604579,0.8281245994835822
47.3850592,0.7039824666151095,0.9385280427704517,0.8212552546927806
47.5563488,0.6908459912368715,0.9371867532554553,0.8140163722461634
47.727638400000004,0.6768564935958793,0.9357383264155136,0.8062974100056964
47.898928000000005,0.661972941616971,0.9341713092897161,0.7980721254533436
48.07021760000001,0.646146819545581,0.9324725099405397,0.7893096647430603
48.2415072,0.6294101230569554,0.9306266569177495,0.7800183899873525
48.4127968,0.6115801673282296,0.9286159754092994,0.7700980713687645
48.584086400000004,0.5925850992986044,0.9264196553019134,0.7595023773002589
48.755376000000005,0.5723280440637875,0.924013177579981,0.7481706108218842
48.9266656,0.5507616475312004,0.9213674530232752,0.7360645502772378
49.0979552,0.5279125991026986,0.9184477092331952,0.7231801541679469
49.2692448,0.5037804310795108,0.9152120358285291,0.7094962334540199
49.440534400000004,0.4782930103453103,0.9116094587515193,0.6949512345484148
49.611824,0.4511945830603385,0.9075773557672849,0.6793859694138117
49.7831136,0.42263596273570425,0.9030379343599715,0.6628369485478378
49.9544032,0.3925763157857032,0.8978933497247275,0.6452348327552153
50.1256928,0.3610326507162184,0.8920188082392193,0.6265257294777189
50.296982400000005,0.3280599703375762,0.8852526150931378,0.606656292715357
50.468272,0.29398685647035233,0.8773814605670325,0.5856841585186924
50.6395616,0.25894731516674974,0.8681180573863744,0.5635326862765621
50.8108512,0.22302465273196415,0.8570660504118307,0.5400453515718975
50.9821408,0.18695004265575652,0.8436628622032761,0.5153064524295163
51.153430400000005,0.15167555261225915,0.8270823946151676,0.4893789736137134
51.32472,0.11760056137727234,0.8060603305155111,0.4618304459463917
51.4960096,0.08692423077316676,0.7785592253995903,0.43274172808637856
51.6672992,0.06013519116488099,0.7410710549882349,0.40060312307655793
51.838588800000004,0.036794617881857,0.6869985601045541,0.36189658899320554
52.009878400000005,0.017766950094061793,0.6022951817845887,0.3100310659393253
52.181168,0.004825544118110897,0.45081650103951426,0.2278210225788126
52.3524576,6.308897660545172e-05,0.10269873431768436,0.05138091164714491
52.5237472,0.0,0.0,0.0
52.695036800000004,0.0,0.0,0.0
52.866326400000005,0.0,0.0,0.0
53.037616,0.0,0.0,0.0
53.2089056,0.0,0.0,0.0
53.3801952,0.0,0.0,0.0
53.551484800000004,0.0,0.0,0.0
53.722774400000006,0.0,0.0,0.0
53.894064,0.0,0.0,0.0
54.0653536,0.0,0.0,0.0
54.2366432,0.0,0.0,0.0
54.407932800000005,0.0,0.0,0.0
54.579222400000006,0.0,0.0,0.0
54.750512,0.0,0.0,0.0
54.9218016,0.0,0.0,0.0
55.0930912,0.0,0.0,0.0
55.2643808,0.0,0.0,0.0
55.43567040000001,0.0,0.0,0.0
55.60696,0.0,0.0,0.0
55.7782496,0.0,0.0,0.0
55.949539200000004,0.0,0.0,0.0
56.1208288,0.0,0.0,0.0
56.2921184,0.0,0.0,0.0
56.463408,0.0,0.0,0.0
56.6346976,0.0,0.0,0.0
56.805987200000004,0.0,0.0,0.0
56.9772768,0.0,0.0,0.0
57.1485664,0.0,0.0,0.0
57.319856,0.0,0.0,0.0
57.4911456,0.0,0.0,0.0
57.662435200000004,0.0,0.0,0.0
57.8337248,0.0,0.0,0.0
58.0050144,0.0,0.0,0.0
58.176304,0.0,0.0,0.0
58.3475936,0.0,0.0,0.0
58.518883200000005,0.0,0.0,0.0
58.6901728,0.0,0.0,0.0
58.8614624,0.0,0.0,0.0
59.032752,0.0,0.0,0.0
59.204041600000004,0.0,0.0,0.0
59.375331200000005,0.0,0.0,0.0
59.5466208,0.0,0.0,0.0
59.7179104,0.0,0.0,0.0
59.8892,0.0,0.0,0.0
